STT,Tên sản phẩm,Danh mục,Phong cách,Giá,Kích thước,Chất liệu,Màu sắc,Mô tả,Hình ảnh
1,Bàn ghế ăn uống,Bàn ghế,Industrial,4.345.414 VNĐ,"Bàn: 109cm x 71cm x 100cm
Ghế: 86,4cm x 41cm x 38cm",inox không gỉ x gỗ,"đen, nâu",bộ bàn ghế 4 người cho phòng bếp,product-industrial-ban-an-01.jpg
2,Giường ngủ,Giường,Industrial,"3,017,943 VNĐ","211cm x 157,5cm x 104cm",inox không gỉ,đen,giường đơn chưa có đệm,product-industrial-giuong-02.jpg
3,Đèn,Phụ kiện,Industrial ,"4,006,664 VNĐ",70cm,inox không gỉ x nhôm,loan màu đồng,"chân đèn trang trí ở các góc phòng,
có hình dáng cần cẩu",product-industrial-den-03.jpg
4,Kệ để đồ,Phụ kiện,Industrial,"4,240,835 VNĐ","120cm x 34,8cm x 169cm",gỗ,nâu,"hình dáng độc đáo, các trụ gỗ
được tạo ra từ các hoạ tiết đan xen nhau",product-industrial-ke-de-do-04.jpg
5,Tủ quần áo,Tủ đồ,Industrial,"8,846,196 VNĐ",90cm x 40cm x 140cm,inox không gỉ,đen,tủ đồ thiết kế tối giản,product-industrial-tu-quan-ao-05.jpg
6,Mô hình máy quay phim ,Phụ kiện,Industrial,"1,196,613 VNĐ ","27,9cm x 21,5cm x 40,5cm",thép không gỉ ,vàng nâu,"thiết kế lấy cảm hứng từ chiếc máy 
quay phim",product-industrial-may-quay-phim-06.jpg
7,Giá treo tường,Phụ kiện,Industrial,"1,795,050.81 VNĐ","61,6cm x 19,7cm x 79,1cm","gỗ, sắt","nâu, đen","giá treo tường có thiết kế giống với
các đường ống nước",product-industrial-gia-treo-tuong-07.jpg
8,Đèn trần,Phụ kiện,Industrial,"5,203,540 VNĐ",52cm x 52cm x 57cm,"sắt, thép",đen,đèn trần phong cách SteamPunk độc đáo,product-industrial-den-tran-08.jpg
9,Tranh treo tường,Phụ kiện,Industrial,"2,653,678 VNĐ","101,6cm x 50,8cm",vải Canvas,màu vẽ tổng hợp,tranh phong cảnh vẽ theo phong cách Industrial,product-industrial-tranh-treo-tuong-09.jpg
10,Đèn bàn,Phụ kiện,Industrial,"1,690,974 VNĐ",17cm x 17cm x 56cm,"gỗ, nhôm","nâu, đen","đèn bàn 3 chân, bỏ trên bàn làm việc hoặc dùng
làm đèn ngủ",product-industrial-den-ban-10.jpg
